uniq_id,Back End,C-suite executive,Cloud Computing,Data Scientist,Data or business analyst,Database Administrator(DBA),Designer,DevOps,Educator or academic researcher,Embedded applications or devices developer,Engineering manager,Enterprise application,Front End,Full stack,Game developer,Information Security,Mobile Developer,Network Engineer,Product Manager,QA/Test Developer,Sales professional,Software Developer/Java Developer,Student,System Administrator,Web Developer
418ff92580b270ef4e7c14f0ddfc36b4,,0,,,,,0,,0,0,0,,,,,,,,,1.0,,,0,,
8aec88cba08d53da65ab99cf20f6f9d9,,0,,,,,0,,0,0,0,,,,,1.0,,,,,,,0,,
46baa1f69ac07779274bcd90b85d9a72,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,
3941b2f206ae0f900c4fba4ac0b18719,,0,,,,,0,,0,0,0,0.180669742785728,0.18000577110915836,,,,,,,,0.18099037239761426,0.28463977133012996,0,0.17369434237736947,
45efa1f6bc65acc32bbbb953a1ed13b7,,0,,,,,0,1.0,0,0,0,,,,,,,,,,,,0,,
e0ac9d926dda5e95162ef05adea7318c,,0,,,,,0,,0,0,0,,,,,,,,,1.0,,,0,,
e7e326053c586bd94e59f1fd74de4a1b,,0,,,,,0,,0,0,0,,,,,,,1.0,,,,,0,,
b0dadecf4c3c2beecb9c773ca11ecda4,0.406523141244494,0,,,,,0,,0,0,0,,,,,,,,,,,,0,,0.5934768587555059
28f5e0c1cc3314813e674f0c32b04d1b,,0,,,,,0,,0,0,0,,1.0,,,,,,,,,,0,,
95c9127e2770172f454f3b83981eaa88,,0,,,,,0,,0,0,0,1.0,,,,,,,,,,,0,,
5e0ff38f5eaf44726f4e3d1dd257a244,,0,,,,,0,,0,0,0,,,,,,,0.6892252616141474,,0.3107747383858526,,,0,,
e4a1ff1b6c0fda5f345e57cf1acb40dd,,0,,,,,0,,0,0,0,,,,,1.0,,,,,,,0,,
d0c81a2e3e5d666f3d730f1048c49132,,0,,,,,0,,0,0,0,,,,,,,,1.0,,,,0,,
51279d060da242e3baea98b26ddd641e,0.18585473909382189,0,,,,,0,,0,0,0,0.17548082008389684,0.17480432533330664,,,,,,0.1791078196865573,,0.28475229580241723,,0,,
48b7ca0c2f6191fb48e7ecf19fbd3322,,0,,,,,0,,0,0,0,,,,,,,,1.0,,,,0,,
9e5704d08bc07ddb6df9ef98b223b036,,0,,,,,0,,0,0,0,,,,,,,,,,,,0,1.0,
e4dceaaaaae37ca6eabb04a7d42498b4,,0,,,,,0,,0,0,0,,,,,,,,,1.0,,,0,,
7ad2eadde69e07fee0e38c1a251dd81f,,0,,,0.5855016771936288,,0,,0,0,0,,,,,0.4144983228063711,,,,,,,0,,
f3af6886ca0d133abda2ddf9b84633e4,,0,,,,,0,,0,0,0,,,,,,,,,,,,0,1.0,
e4f57bc5366124a0a47cac27f557f9ec,,0,,,,,0,,0,0,0,,0.13257191285335498,0.1264749351763613,,,,0.1272684225263138,0.13606704009539894,,,0.21565098166261912,0,0.13041034327284284,0.13155636441310914
d3073d47b79938269b22bdea4dc0b9b8,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,
c014c8569c91f22bc871940bfa4b4296,,0,,,,,0,,0,0,0,,,,,,,,1.0,,,,0,,
b7fab2d3de5e129310b382d8f51508f6,,0,,,,,0,,0,0,0,0.2266357761342581,,,,,,,,0.33519650218597297,0.2203356203522324,,0,0.2178321013275364,
4868383e3f99535778f354fcb734d57c,0.2873186780089526,0,,,,,0,,0,0,0,,,,,0.2866428125625807,,,,,0.4260385094284668,,0,,
81f8732626888727fcc1093b6c084839,,0,,,,,0,,0,0,0,0.2762454430716599,,,,0.2928347078233968,,0.4309198491049433,,,,,0,,
cf902dc6fd702207563ed1cdc03ef05e,,0,,,,,0,,0,0,0,,,,,,,,1.0,,,,0,,
1bef3cf6259e80d18222407858ad9052,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,
72a3f0f0f24a0a78c5fac3c2376f5979,,0,,,,,0,,0,0,0,0.15334832064123116,,0.1456934544226659,,,,0.14029547134477074,0.1511192750629074,0.2612140416852388,,,0,0.14832943684318592,
4a3f8742fae151757eb290a774968371,0.2147699274585206,0,,,,,0,,0,0,0,,,0.20818642853005606,,0.3579675496007085,,,0.2190760944107149,,,,0,,
b1db84e23f424b1481b29212749abadc,0.28462552682160697,0,,,,,0,,0,0,0,,,,,0.29056825316339496,,0.4248062200149981,,,,,0,,
51a0050d469e787dba2102383797536d,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,
f2ade5d053b992593e2bdacd83a18a7f,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,
2831bbdba025f87efca38b9761f26b95,0.4112857549770381,0,,,,,0,,0,0,0,,,,,,0.5887142450229619,,,,,,0,,
